dosage_forms,generic_formulation,actual_ending,count
Delayed Release Oral Capsule,duloxetine 60 MG, MG,89
Oral Tablet,tizanidine 4 MG, MG,89
Oral Tablet,rosuvastatin calcium 20 MG, MG,88
Oral Tablet,losartan potassium 100 MG, MG,88
Oral Tablet,tadalafil 5 MG, MG,88
Oral Tablet,acetaminophen 325 MG / hydrocodone bitartrate 10 MG, MG,88
"TABLET, EXTENDED RELEASE",24 HR metoprolol succinate 100 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,87
Extended Release Oral Tablet,24 HR metoprolol succinate 100 MG, MG,87
Oral Tablet,topiramate 25 MG, MG,87
Oral Capsule,pregabalin 100 MG, MG,87
Topical Cream,triamcinolone acetonide 1 MG/ML,ML,86
Oral Tablet,furosemide 40 MG, MG,86
Oral Tablet,escitalopram 20 MG, MG,85
Oral Tablet,dicyclomine hydrochloride 20 MG, MG,85
Oral Tablet,tadalafil 20 MG, MG,85
Oral Tablet,metaxalone 800 MG, MG,84
Delayed Release Oral Capsule,omeprazole 40 MG, MG,84
Extended Release Oral Capsule,24 HR venlafaxine 75 MG, MG,83
Oral Capsule,pregabalin 150 MG, MG,83
Oral Tablet,montelukast 10 MG, MG,83
Oral Tablet,amitriptyline hydrochloride 25 MG, MG,83
Oral Tablet,buspirone hydrochloride 15 MG, MG,83
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 75 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,83
Oral Tablet,levetiracetam 500 MG, MG,82
Oral Tablet,folic acid 1 MG, MG,82
Oral Tablet,acetaminophen 300 MG / codeine phosphate 30 MG, MG,82
Oral Tablet,sildenafil 20 MG, MG,82
Oral Tablet,topiramate 50 MG, MG,81
Oral Capsule,hydroxyzine pamoate 25 MG, MG,81
Oral Tablet,sertraline 25 MG, MG,81
Oral Tablet,pravastatin sodium 40 MG, MG,80
Oral Tablet,simvastatin 20 MG, MG,80
Oral Tablet,lisinopril 5 MG, MG,79
Oral Tablet,levothyroxine sodium 0.05 MG, MG,79
Oral Tablet,lorazepam 1 MG, MG,79
Medicated Patch,lidocaine 0.05 MG/MG,MG,78
Oral Tablet,ondansetron 4 MG, MG,78
"TABLET, DELAYED RELEASE (OBS 06-25-01)",pantoprazole 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,77
Oral Tablet,acetaminophen 325 MG / oxycodone hydrochloride 5 MG, MG,77
Delayed Release Oral Tablet,pantoprazole 20 MG, MG,77
GASTRO-RESISTANT TABLET,pantoprazole 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,77
Oral Tablet,pravastatin sodium 20 MG, MG,77
Oral Tablet,atenolol 25 MG, MG,77
Oral Tablet,simvastatin 40 MG, MG,76
Oral Tablet,acyclovir 800 MG, MG,76
Oral Tablet,gemfibrozil 600 MG, MG,76
Oral Tablet,zolpidem tartrate 10 MG, MG,76
Oral Tablet,levothyroxine sodium 0.075 MG, MG,76
Oral Tablet,metoprolol tartrate 100 MG, MG,76
Oral Tablet,valacyclovir 500 MG, MG,76
Oral Tablet,zolpidem tartrate 5 MG, MG,76
Oral Tablet,valacyclovir 1000 MG, MG,75
Oral Tablet,ketorolac tromethamine 10 MG, MG,75
Oral Capsule,dicyclomine hydrochloride 10 MG, MG,75
Oral Capsule,fluoxetine 10 MG, MG,75
Oral Tablet,topiramate 100 MG, MG,74
Oral Tablet,trazodone hydrochloride 50 MG, MG,74
Oral Tablet,glipizide 5 MG, MG,74
Oral Capsule,cephalexin 250 MG, MG,74
Oral Tablet,fluconazole 150 MG, MG,74
INHALATION GAS,oxygen 99.5 % Gas for Inhalation, Gas for Inhalation,73
Oral Tablet,buspirone hydrochloride 5 MG, MG,73
Oral Tablet,famotidine 40 MG, MG,73
Gas for Inhalation,oxygen 99.5 %,,73
Oral Tablet,rosuvastatin calcium 5 MG, MG,73
Oral Tablet,meclizine hydrochloride 25 MG, MG,73
"TABLET, EXTENDED RELEASE",12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,72
Oral Tablet,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG, MG,72
"TABLET,DISINTEGRATING",ondansetron 4 MG Disintegrating Oral Tablet, MG Disintegrating Oral Tablet,72
Oral Tablet,rosuvastatin calcium 40 MG, MG,72
Oral Tablet,levothyroxine sodium 0.1 MG, MG,72
Disintegrating Oral Tablet,ondansetron 4 MG, MG,72
Oral Tablet,clonazepam 0.5 MG, MG,72
Oral Tablet,lisinopril 40 MG, MG,72
Extended Release Oral Tablet,12 HR bupropion hydrochloride 150 MG, MG,72
Disintegrating Oral Tablet,ondansetron 8 MG, MG,71
"TABLET,DISINTEGRATING",ondansetron 8 MG Disintegrating Oral Tablet, MG Disintegrating Oral Tablet,71
"TABLET, EXTENDED RELEASE",potassium chloride 10 MEQ Extended Release Oral Tablet, MEQ Extended Release Oral Tablet,70
Topical Solution,diclofenac sodium 15 MG/ML,ML,70
Oral Tablet,levothyroxine sodium 0.088 MG, MG,70
Extended Release Oral Tablet,potassium chloride 10 MEQ, MEQ,70
CUTANEOUS SOLUTION,diclofenac sodium 15 MG/ML Topical Solution,ML Topical Solution,70
Oral Tablet,glipizide 10 MG, MG,70
Oral Tablet,levofloxacin 500 MG, MG,69
Oral Capsule,clindamycin 150 MG, MG,69
Oral Tablet,paroxetine hydrochloride 20 MG, MG,69
Oral Tablet,trazodone hydrochloride 100 MG, MG,69
Oral Tablet,ondansetron 8 MG, MG,69
Oral Tablet,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG, MG,69
Delayed Release Oral Capsule,esomeprazole 40 MG, MG,68
Oral Tablet,chlorthalidone 25 MG, MG,68
Oral Tablet,naproxen 375 MG, MG,68
Oral Tablet,mirtazapine 15 MG, MG,67
