dosage_forms,generic_formulation,actual_ending,count
Oral Tablet,acetaminophen 325 MG / tramadol hydrochloride 37.5 MG, MG,42
Topical Cream,clobetasol propionate 0.5 MG/ML,ML,42
Oral Tablet,amitriptyline hydrochloride 100 MG, MG,41
Oral Suspension,amoxicillin 50 MG/ML,ML,41
Topical Gel,diclofenac sodium 0.03 MG/MG,MG,41
"TABLET, EXTENDED RELEASE",Osmotic 24 HR nifedipine 60 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,41
Injection,1 ML phenylephrine hydrochloride 10 MG/ML,ML,41
Oral Tablet,prochlorperazine 10 MG, MG,41
GASTRO-RESISTANT TABLET,rabeprazole sodium 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,41
Oral Tablet,doxazosin 2 MG, MG,41
Oral Tablet,pioglitazone 30 MG, MG,41
Oral Tablet,memantine hydrochloride 5 MG, MG,41
"SUSPENSION, ORAL (FINAL DOSE FORM)",amoxicillin 50 MG/ML Oral Suspension,ML Oral Suspension,41
"TABLET, DELAYED RELEASE (OBS 06-25-01)",rabeprazole sodium 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,41
Extended Release Oral Tablet,Osmotic 24 HR nifedipine 60 MG, MG,41
Delayed Release Oral Tablet,rabeprazole sodium 20 MG, MG,41
Oral Tablet,clonidine hydrochloride 0.3 MG, MG,41
Oral Tablet,ramelteon 8 MG, MG,41
Oral Tablet,oxycodone hydrochloride 5 MG, MG,41
Oral Tablet,valsartan 320 MG, MG,40
Oral Tablet,trazodone hydrochloride 150 MG, MG,40
Oral Tablet,modafinil 200 MG, MG,40
Oral Suspension,amoxicillin 120 MG/ML / clavulanate 8.58 MG/ML,ML,40
Oral Tablet,hydrochlorothiazide 25 MG / lisinopril 20 MG, MG,40
Oral Tablet,hydrochlorothiazide 25 MG / triamterene 37.5 MG, MG,40
Oral Tablet,pravastatin sodium 80 MG, MG,40
"SUSPENSION, ORAL (FINAL DOSE FORM)",amoxicillin 120 MG/ML / clavulanate 8.58 MG/ML Oral Suspension,ML Oral Suspension,40
Injectable Solution,rocuronium bromide 10 MG/ML,ML,40
Oral Tablet,labetalol hydrochloride 300 MG, MG,40
SOLUTION FOR INJECTION,rocuronium bromide 10 MG/ML Injectable Solution,ML Injectable Solution,40
Oral Tablet,sevelamer carbonate 800 MG, MG,40
Oral Tablet,aripiprazole 20 MG, MG,39
Ophthalmic Solution,tobramycin 3 MG/ML,ML,39
Oral Tablet,ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG, MG,39
Oral Suspension,cephalexin 50 MG/ML,ML,39
Oral Tablet,venlafaxine 37.5 MG, MG,39
Topical Gel,diclofenac sodium 0.01 MG/MG,MG,39
"TABLET, EXTENDED RELEASE",Osmotic 24 HR nifedipine 30 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,39
Oral Tablet,chlorthalidone 50 MG, MG,39
Extended Release Oral Tablet,Osmotic 24 HR nifedipine 30 MG, MG,39
Oral Tablet,varenicline 1 MG, MG,39
Injection,5 ML lidocaine hydrochloride 20 MG/ML,ML,39
Ophthalmic Solution,moxifloxacin 5 MG/ML,ML,39
"SUSPENSION, ORAL (FINAL DOSE FORM)",cephalexin 50 MG/ML Oral Suspension,ML Oral Suspension,39
Oral Tablet,sotalol hydrochloride 80 MG, MG,38
"SOLUTION, ORAL",prednisolone 3 MG/ML Oral Solution,ML Oral Solution,38
"SUSPENSION, ORAL (FINAL DOSE FORM)",nystatin 100000 UNT/ML Oral Suspension,ML Oral Suspension,38
Oral Solution,prednisolone 3 MG/ML,ML,38
Oral Tablet,buspirone hydrochloride 7.5 MG, MG,38
Injection,daptomycin 500 MG, MG,38
Oral Tablet,ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG, MG,38
Oral Solution,levetiracetam 100 MG/ML,ML,38
Oral Tablet,prochlorperazine 5 MG, MG,38
Oral Tablet,oxcarbazepine 300 MG, MG,38
"SOLUTION, ORAL",levetiracetam 100 MG/ML Oral Solution,ML Oral Solution,38
Oral Tablet,ethinyl estradiol 0.01 MG, MG,38
Oral Suspension,nystatin 100000 UNT/ML,ML,38
Oral Tablet,bumetanide 1 MG, MG,38
Oral Capsule,zonisamide 100 MG, MG,37
Oral Tablet,prednisone 50 MG, MG,37
Oral Tablet,pioglitazone 15 MG, MG,37
"TABLET,CHEWABLE",montelukast 5 MG Chewable Tablet, MG Chewable Tablet,37
Oral Tablet,telmisartan 80 MG, MG,37
